"filename", "language", "XML", "Markdown", "JSON with Comments", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\README.md", "Markdown", 0, 24, 0, 0, 0, 0, 0, 0, 0, 14, 38
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\api\burners\del\route.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 1, 7, 40
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\api\burners\route.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 2, 7, 54
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 252, 0, 7, 25, 284
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\burner-wallets\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\burner-wallets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 186, 0, 1, 15, 202
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 4, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\raydium-swaps\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\examples\raydium-swaps\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 131, 0, 4, 15, 150
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 25, 0, 6, 31
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\creating-wallets\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 271, 0, 1, 4, 276
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\guides\triggering-gasless-txns\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\hooks\useBalances.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 1, 6, 46
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 71, 0, 2, 4, 77
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\AddressButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 1, 3, 17
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\BurnerModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 116, 0, 11, 14, 141
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\CodeBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\ConnectionButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 2, 2, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\Divider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\WalletConnect.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\components\WalletHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 14, 0, 0, 0, 2, 3, 19
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\balance.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 3, 22
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\burner.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 2, 10, 44
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\clipboard.ts", "TypeScript", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\config.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 7, 3, 15
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\constants.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 1, 2, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\db.ts", "TypeScript", 0, 0, 0, 0, 0, 86, 0, 0, 7, 28, 121
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\solana.ts", "TypeScript", 0, 0, 0, 0, 0, 42, 0, 0, 2, 8, 52
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\subscriptions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\transfer.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\lib\types.ts", "TypeScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 6, 33
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\next.config.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 1, 3, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package-lock.json", "JSON", 0, 0, 0, 10937, 0, 0, 0, 0, 0, 1, 10938
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\package.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\file.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\globe.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\next.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\vercel.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\public\window.svg", "XML", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Mofe.Banks\Documents\Solana\lazorkit_demo_v1\tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 5, 24, 34, 10979, 20, 300, 1213, 25, 55, 220, 12875